Web Search interest: empire
Worldwide; 2004 - present

Interest over time
Week,empire
2008-05-18 - 2008-05-24,55
2008-05-25 - 2008-05-31,58
2008-06-01 - 2008-06-07,54
2008-06-08 - 2008-06-14,54
2008-06-15 - 2008-06-21,54
2008-06-22 - 2008-06-28,57
2008-06-29 - 2008-07-05,58
2008-07-06 - 2008-07-12,57
2008-07-13 - 2008-07-19,61
2008-07-20 - 2008-07-26,67
2008-07-27 - 2008-08-02,60
2008-08-03 - 2008-08-09,63
2008-08-10 - 2008-08-16,60
2008-08-17 - 2008-08-23,57
2008-08-24 - 2008-08-30,57
2008-08-31 - 2008-09-06,55
2008-09-07 - 2008-09-13,55
2008-09-14 - 2008-09-20,55
2008-09-21 - 2008-09-27,54
2008-09-28 - 2008-10-04,58
2008-10-05 - 2008-10-11,57
2008-10-12 - 2008-10-18,55
2008-10-19 - 2008-10-25,56
2008-10-26 - 2008-11-01,56
2008-11-02 - 2008-11-08,54
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,55
2008-12-07 - 2008-12-13,57
2008-12-14 - 2008-12-20,56
2008-12-21 - 2008-12-27,62
2008-12-28 - 2009-01-03,70
2009-01-04 - 2009-01-10,60
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,61
2009-01-25 - 2009-01-31,61
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,62
2009-02-15 - 2009-02-21,65
2009-02-22 - 2009-02-28,68
2009-03-01 - 2009-03-07,86
2009-03-08 - 2009-03-14,83
2009-03-15 - 2009-03-21,74
2009-03-22 - 2009-03-28,68
2009-03-29 - 2009-04-04,65
2009-04-05 - 2009-04-11,68
2009-04-12 - 2009-04-18,64
2009-04-19 - 2009-04-25,60
2009-04-26 - 2009-05-02,62
2009-05-03 - 2009-05-09,60
2009-05-10 - 2009-05-16,61
2009-05-17 - 2009-05-23,63
2009-05-24 - 2009-05-30,60
2009-05-31 - 2009-06-06,61
2009-06-07 - 2009-06-13,63
2009-06-14 - 2009-06-20,60
2009-06-21 - 2009-06-27,60
2009-06-28 - 2009-07-04,59
2009-07-05 - 2009-07-11,59
2009-07-12 - 2009-07-18,60
2009-07-19 - 2009-07-25,60
2009-07-26 - 2009-08-01,61
2009-08-02 - 2009-08-08,60
2009-08-09 - 2009-08-15,59
2009-08-16 - 2009-08-22,57
2009-08-23 - 2009-08-29,60
2009-08-30 - 2009-09-05,59
2009-09-06 - 2009-09-12,58
2009-09-13 - 2009-09-19,67
2009-09-20 - 2009-09-26,69
2009-09-27 - 2009-10-03,66
2009-10-04 - 2009-10-10,65
2009-10-11 - 2009-10-17,64
2009-10-18 - 2009-10-24,62
2009-10-25 - 2009-10-31,66
2009-11-01 - 2009-11-07,66
2009-11-08 - 2009-11-14,65
2009-11-15 - 2009-11-21,69
2009-11-22 - 2009-11-28,70
2009-11-29 - 2009-12-05,67
2009-12-06 - 2009-12-12,67
2009-12-13 - 2009-12-19,69
2009-12-20 - 2009-12-26,73
2009-12-27 - 2010-01-02,80
2010-01-03 - 2010-01-09,67
2010-01-10 - 2010-01-16,67
2010-01-17 - 2010-01-23,66
2010-01-24 - 2010-01-30,64
2010-01-31 - 2010-02-06,64
2010-02-07 - 2010-02-13,64
2010-02-14 - 2010-02-20,65
2010-02-21 - 2010-02-27,62
2010-02-28 - 2010-03-06,61
2010-03-07 - 2010-03-13,60
2010-03-14 - 2010-03-20,57
2010-03-21 - 2010-03-27,57
2010-03-28 - 2010-04-03,65
2010-04-04 - 2010-04-10,59
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,55
2010-04-25 - 2010-05-01,55
2010-05-02 - 2010-05-08,55
2010-05-09 - 2010-05-15,57
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,57
2010-05-30 - 2010-06-05,56
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,54
2010-06-20 - 2010-06-26,52
2010-06-27 - 2010-07-03,54
2010-07-04 - 2010-07-10,56
2010-07-11 - 2010-07-17,57
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,56
2010-08-01 - 2010-08-07,57
2010-08-08 - 2010-08-14,57
2010-08-15 - 2010-08-21,58
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,54
2010-09-05 - 2010-09-11,56
2010-09-12 - 2010-09-18,57
2010-09-19 - 2010-09-25,73
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,61
2010-10-10 - 2010-10-16,62
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,62
2010-10-31 - 2010-11-06,62
2010-11-07 - 2010-11-13,61
2010-11-14 - 2010-11-20,63
2010-11-21 - 2010-11-27,59
2010-11-28 - 2010-12-04,59
2010-12-05 - 2010-12-11,63
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,59
2010-12-26 - 2011-01-01,65
2011-01-02 - 2011-01-08,61
2011-01-09 - 2011-01-15,58
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,59
2011-01-30 - 2011-02-05,61
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,56
2011-02-27 - 2011-03-05,55
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,49
2011-03-20 - 2011-03-26,51
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,54
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,50
2011-05-22 - 2011-05-28,51
2011-05-29 - 2011-06-04,50
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,52
2011-06-19 - 2011-06-25,54
2011-06-26 - 2011-07-02,50
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,55
2011-07-17 - 2011-07-23,55
2011-07-24 - 2011-07-30,53
2011-07-31 - 2011-08-06,52
2011-08-07 - 2011-08-13,55
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,54
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,53
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,61
2011-10-02 - 2011-10-08,57
2011-10-09 - 2011-10-15,57
2011-10-16 - 2011-10-22,57
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,56
2011-11-06 - 2011-11-12,57
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,56
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,63
2011-12-18 - 2011-12-24,55
2011-12-25 - 2011-12-31,60
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,58
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,55
2012-02-05 - 2012-02-11,55
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,53
2012-03-11 - 2012-03-17,51
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,53
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,51
2012-04-29 - 2012-05-05,56
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,51
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,52
2012-08-12 - 2012-08-18,53
2012-08-19 - 2012-08-25,87
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,57
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,61
2012-09-30 - 2012-10-06,62
2012-10-07 - 2012-10-13,59
2012-10-14 - 2012-10-20,60
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,64
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,66
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,61
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,66
2012-12-30 - 2013-01-05,70
2013-01-06 - 2013-01-12,59
2013-01-13 - 2013-01-19,61
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,58
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,59
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,60
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,57
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,58
2013-04-07 - 2013-04-13,61
2013-04-14 - 2013-04-20,59
2013-04-21 - 2013-04-27,58
2013-04-28 - 2013-05-04,62
2013-05-05 - 2013-05-11,57
2013-05-12 - 2013-05-18,57
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,56
2013-06-09 - 2013-06-15,64
2013-06-16 - 2013-06-22,58
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,58
2013-07-07 - 2013-07-13,57
2013-07-14 - 2013-07-20,59
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,58
2013-08-04 - 2013-08-10,60
2013-08-11 - 2013-08-17,59
2013-08-18 - 2013-08-24,63
2013-08-25 - 2013-08-31,63
2013-09-01 - 2013-09-07,62
2013-09-08 - 2013-09-14,67
2013-09-15 - 2013-09-21,62
2013-09-22 - 2013-09-28,60
2013-09-29 - 2013-10-05,62
2013-10-06 - 2013-10-12,61
2013-10-13 - 2013-10-19,62
2013-10-20 - 2013-10-26,60
2013-10-27 - 2013-11-02,63
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,61
2013-11-17 - 2013-11-23,61
2013-11-24 - 2013-11-30,62
2013-12-01 - 2013-12-07,58
2013-12-08 - 2013-12-14,58
2013-12-15 - 2013-12-21,55
2013-12-22 - 2013-12-28,58
2013-12-29 - 2014-01-04,63
2014-01-05 - 2014-01-11,57
2014-01-12 - 2014-01-18,60
2014-01-19 - 2014-01-25,59
2014-01-26 - 2014-02-01,58
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,58
2014-02-16 - 2014-02-22,58
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,84
2014-03-09 - 2014-03-15,95
2014-03-16 - 2014-03-22,74
2014-03-23 - 2014-03-29,77
2014-03-30 - 2014-04-05,66
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,65
2014-04-20 - 2014-04-26,62
2014-04-27 - 2014-05-03,59
2014-05-04 - 2014-05-10,58
2014-05-11 - 2014-05-17,56
2014-05-18 - 2014-05-24,55
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,56
2014-07-06 - 2014-07-12,57
2014-07-13 - 2014-07-19,55
2014-07-20 - 2014-07-26,57
2014-07-27 - 2014-08-02,57
2014-08-03 - 2014-08-09,56
2014-08-10 - 2014-08-16,53
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,55
2014-08-31 - 2014-09-06,55
2014-09-07 - 2014-09-13,58
2014-09-14 - 2014-09-20,55
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,57
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,57
2014-10-19 - 2014-10-25,59
2014-10-26 - 2014-11-01,61
2014-11-02 - 2014-11-08,52
2014-11-09 - 2014-11-15,52
2014-11-16 - 2014-11-22,52
2014-11-23 - 2014-11-29,49
2014-11-30 - 2014-12-06,52
2014-12-07 - 2014-12-13,52
2014-12-14 - 2014-12-20,53
2014-12-21 - 2014-12-27,51
2014-12-28 - 2015-01-03,56
2015-01-04 - 2015-01-10,67
2015-01-11 - 2015-01-17,67
2015-01-18 - 2015-01-24,66
2015-01-25 - 2015-01-31,65
2015-02-01 - 2015-02-07,65
2015-02-08 - 2015-02-14,68
2015-02-15 - 2015-02-21,74
2015-02-22 - 2015-02-28,73
2015-03-01 - 2015-03-07,76
2015-03-08 - 2015-03-14,77
2015-03-15 - 2015-03-21,67


Top regions for empire
Region,empire
Brunei,100
Canada,51
United Kingdom,43
Malta,39
Jamaica,39
St. Vincent & Grenadines,34
United States,33
Isle of Man,28
Romania,27
Hungary,26
Australia,25
Lebanon,25
France,24
Antigua & Barbuda,24
Guyana,23
French Guiana,22
Dominica,22
Trinidad & Tobago,21
Gibraltar,20
Ireland,20
Barbados,20
Czech Republic,20
Bermuda,19
Slovakia,19
New Zealand,19
Guernsey,19
Jersey,19
Belize,18
Singapore,18
Philippines,18
Denmark,18
Germany,18
Austria,17
Cayman Islands,17
Guam,17
Malaysia,16
Venezuela,16
Poland,16
Belgium,16
Greece,15
Bahamas,15
Martinique,15
Iceland,14
Madagascar,14
Guadeloupe,14
New Caledonia,14
French Polynesia,14
Norway,13
Netherlands,13
Réunion,13
Gabon,13
Cambodia,13
Chile,13
Portugal,12
Sweden,12
Estonia,12
Finland,12
Spain,12
South Africa,12
Monaco,12
Italy,12
Aruba,12
Senegal,11
Indonesia,11
Bulgaria,11
Kenya,11
Switzerland,11
Cyprus,11
Pakistan,11
Mongolia,11
Burkina Faso,11
Honduras,11
Luxembourg,10
Zimbabwe,10
Ghana,10
Puerto Rico,10
Mali,10
Argentina,10
Suriname,10
St. Helena,10
Tunisia,10
Serbia,10
Macedonia (FYROM),10
Hong Kong,10
Andorra,10
Malawi,10
Côte d’Ivoire,10
United Arab Emirates,10
Croatia,9
Mauritius,9
India,9
Maldives,9
Botswana,9
Slovenia,9
Lithuania,9
Namibia,9
Latvia,9
Fiji,9
Congo (DRC),9
Nigeria,9
Mexico,9
Uruguay,9
Cameroon,9
Georgia,9
Albania,8
Guatemala,8
Uganda,8
Sri Lanka,8
Costa Rica,8
Panama,8
Tanzania,8
Nicaragua,8
Dominican Republic,8
Montenegro,8
El Salvador,8
Bosnia & Herzegovina,8
Qatar,8
Bangladesh,7
Colombia,7
Zambia,7
Nepal,7
Afghanistan,7
Turkey,7
Morocco,7
Brazil,7
Kosovo,7
Cuba,7
Israel,7
Algeria,6
Paraguay,6
Bahrain,6
Haiti,6
Peru,6
Myanmar (Burma),6
Azerbaijan,6
Russia,6
Thailand,6
Ecuador,5
Kuwait,5
Macau,5
Egypt,5
Bolivia,5
Moldova,5
Laos,5
Kazakhstan,5
Oman,5
Ethiopia,5
Belarus,5
South Korea,5
Vietnam,5
Armenia,4
Mozambique,4
Ukraine,4
Kyrgyzstan,4
Jordan,4
Iran,4
Uzbekistan,4
Angola,3
Iraq,3
Saudi Arabia,3
Syria,3
Taiwan,3
Palestine,2
Libya,2
Sudan,2
Yemen,1
Japan,1
China,1


Top cities for empire
City,empire
New York (United States),100
Ottawa (Canada),94
Los Angeles (United States),88
Birmingham (United Kingdom),79
London (United Kingdom),74
Toronto (Canada),69
Montreal (Canada),64
Manchester (United Kingdom),63
San Francisco (United States),41
Chicago (United States),37
Paris (France),31
Warsaw (Poland),24
Santiago (Chile),23
Madrid (Spain),20



Top searches for empire
the empire,100
empire state,55
boardwalk empire,35
goodgame empire,35
goodgame,35
age of empire,30
inland empire,30
empire state building,25
empire earth,25
roman empire,20
empire cinema,20
total war,20
total war empire,20
300,15
empire online,15
empire theatres,15
craigslist inland empire,15
the roman empire,10
empire at war,10
empire ottoman,10
empire hotel,10
forge empire,10
forge of empire,10
british empire,5
empire cinemas,5
empire theatre,5
empire earth 2,5
good empire,5
age of empires,5
empire earth 3,5
cat empire,5
dvd empire,5
empire theaters,5
empire strikes back,5
jade empire,5
empire direct,5
byzantine empire,5
the british empire,5
empire carpet,5
empire magazine,5
good game empire,5
empire life,5
liverpool empire,5
empire stores,5
empire cast,5
empire blue cross,5
sunderland empire,5
odeon,5
empire records,5
empire universe,5



Rising searches for empire
300,Breakout
boardwalk empire,Breakout
craigslist inland empire,Breakout
empire at war,Breakout
goodgame,Breakout
goodgame empire,Breakout
total war,+2,700%
total war empire,+2,650%
empire cinema,+350%
inland empire,+160%



